Date,Meal Type,Food Items,Total Calories,Protein (g),Carbohydrates (g),Fat (g)
2024-11-21,Breakfast,,0.0,0.0,0.0,0.0
2024-11-21,Breakfast,,0.0,0.0,0.0,0.0
2024-11-21,Lunch,"milk, whole (300): 180 cal (Protein: 9.8g, Carbs: 14.0g, Fat: 9.6g)",180.0,9.84,14.01,9.6
2024-11-21,Lunch,"milk, whole (300): 180 cal (Protein: 9.8g, Carbs: 14.0g, Fat: 9.6g)",180.0,9.84,14.01,9.6
2024-11-21,Breakfast,"milk (655): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g)",0.0,0.0,0.0,0.0
2024-11-21,Breakfast,"milk (545): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g)",0.0,0.0,0.0,0.0
2024-11-21,Breakfast,"milk (545): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g)",0.0,0.0,0.0,0.0
2024-11-21,Breakfast,"milk (545): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g)",0.0,0.0,0.0,0.0
2024-11-21,Breakfast,"milk (545): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g), bread (300): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g)",0.0,0.0,0.0,0.0
2024-11-21,Breakfast,"milk (545): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g), bread (300): 0 cal (Protein: 0.0g, Carbs: 0.0g, Fat: 0.0g)",0.0,0.0,0.0,0.0
2024-11-21,Breakfast,,0.0,0.0,0.0,0.0
2024-11-21,Breakfast,,0.0,0.0,0.0,0.0
2024-11-21,Breakfast,,0.0,0.0,0.0,0.0
2024-11-21,Breakfast,"milk, whole (200): 120 cal (Protein: 6.6g, Carbs: 9.3g, Fat: 6.4g)",120.0,6.5600000000000005,9.34,6.4
2024-11-21,Breakfast,"milk, whole (200): 120 cal (Protein: 6.6g, Carbs: 9.3g, Fat: 6.4g)",120.0,6.5600000000000005,9.34,6.4
